N,clf,precision,recall,f1,support
3,logistic,0.7840204284570095,0.774869109947644,0.766348022462971,1146
3,sgd_classifier,0.7780561049946443,0.7774869109947644,0.7740109146564356,1146
3,svc,0.7868768978941839,0.7879581151832461,0.7865385043602184,1146
4,logistic,0.6937270930212602,0.6905444126074498,0.6800070293728395,1396
4,sgd_classifier,0.6574059724608478,0.6583094555873925,0.6566376089395229,1396
4,svc,0.6829303886584622,0.6797994269340975,0.6809706278659616,1396
5,logistic,0.577327569390198,0.5860989355040701,0.5687796646055526,1597
5,sgd_classifier,0.5584707993157892,0.567313713212273,0.5606181608835152,1597
5,svc,0.5883118663215233,0.5873512836568566,0.5876373075591341,1597
6,logistic,0.5146807864536062,0.5226130653266332,0.4930494185490139,1791
6,sgd_classifier,0.4737295306705678,0.48408710217755446,0.47498041119804424,1791
6,svc,0.51944431087808,0.5097710776102736,0.5135255088596655,1791
7,logistic,0.4377972524804804,0.472020725388601,0.4384713630838181,1930
7,sgd_classifier,0.42600860100015275,0.4409326424870466,0.43185176464516367,1930
7,svc,0.482285730903285,0.4689119170984456,0.4738899797092171,1930
8,logistic,0.4130731327696214,0.4497560975609756,0.41345229224135077,2050
8,sgd_classifier,0.40226023632463376,0.4175609756097561,0.40749094898979693,2050
8,svc,0.4658450852308799,0.4404878048780488,0.44947543695078035,2050
9,logistic,0.41416935692984086,0.4413953488372093,0.4086479886519843,2150
9,sgd_classifier,0.4078317139895179,0.4144186046511628,0.4091890450814894,2150
9,svc,0.4835743212949953,0.4493023255813953,0.46142318446597197,2150
10,logistic,0.3857377913972808,0.41055456171735244,0.37338450061619144,2236
10,sgd_classifier,0.38678573944694605,0.39713774597495527,0.38911459843881513,2236
10,svc,0.4428649320862589,0.42397137745974955,0.4300374607636703,2236
