N,clf,precision,recall,f1,support
3,logistic,0.7979341045123554,0.7953321364452424,0.7929234188301473,557
3,sgd_classifier,0.7977457404185411,0.7971274685816876,0.7973214915220078,557
3,svc,0.8027425043392411,0.800718132854578,0.8015361380218385,557
4,logistic,0.6486153300866154,0.6622222222222223,0.6476348170631123,675
4,sgd_classifier,0.6532622252365431,0.6651851851851852,0.657214572529533,675
4,svc,0.6819805523390778,0.682962962962963,0.6822334875796672,675
5,logistic,0.5197415943508914,0.5304568527918782,0.5030352148840029,788
5,sgd_classifier,0.5100766027202112,0.5203045685279187,0.5092822936440445,788
5,svc,0.5477386157190851,0.5456852791878173,0.5462103369562304,788
6,logistic,0.4933791960981389,0.5218365061590146,0.48750992195901083,893
6,sgd_classifier,0.4813388746508836,0.49832026875699886,0.48742409251496877,893
6,svc,0.5123241601216053,0.5106382978723404,0.5105464549066524,893
7,logistic,0.3805641548980475,0.4226069246435845,0.3811591076339143,982
7,sgd_classifier,0.41558439268763114,0.43075356415478616,0.4186174779675874,982
7,svc,0.4689267751617973,0.44908350305498984,0.45593532439544204,982
8,logistic,0.34340447008477415,0.4028436018957346,0.35995156588049654,1055
8,sgd_classifier,0.3798560455586758,0.3933649289099526,0.38533665971153874,1055
8,svc,0.45217198587428403,0.404739336492891,0.4213909749457783,1055
9,logistic,0.33502016130391654,0.3675675675675676,0.3317910510904226,1110
9,sgd_classifier,0.36498474154810756,0.37117117117117115,0.36747909200147116,1110
9,svc,0.4376142378512665,0.3846846846846847,0.4045787234303507,1110
10,logistic,0.3241613488161447,0.36919104991394147,0.32549578113342803,1162
10,sgd_classifier,0.3490170226042215,0.35972461273666095,0.3528979369324935,1162
10,svc,0.4132914345954319,0.37349397590361444,0.3866117800307271,1162
